"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\PostShoppingCartItem\PostShoppinCartItemHandler.cs", "C#", 24, 0, 0, 0, 0, 5, 29
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\UpdateCategory\UpdateCategoryCommand.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\UpdateCategory\UpdateCategoryCommandHandler.cs", "C#", 31, 0, 0, 0, 0, 8, 39
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\UpdateProduct\UpdateProductCommand.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Commands\UpdateProduct\UpdateProductCommandHandler.cs", "C#", 31, 0, 0, 0, 0, 7, 38
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetAllCategories\GetAllCategoriesHandler.cs", "C#", 25, 0, 0, 0, 0, 6, 31
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetAllCategories\GetAllCategoriesQuery.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetAllProducts\GetAllProductsHandler.cs", "C#", 29, 0, 0, 0, 0, 5, 34
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetAllProducts\GetAllProductsQuery.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetOrderDetail\GetOrderDetailHandler.cs", "C#", 37, 0, 0, 0, 0, 6, 43
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetOrderDetail\GetOrderDetailQuery.cs", "C#", 11, 0, 0, 0, 0, 3, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetOrdersByUser\GetOrdersByUserHandler.cs", "C#", 24, 0, 0, 0, 0, 5, 29
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetOrdersByUser\GetOrdersByUserQuery.cs", "C#", 11, 0, 0, 0, 0, 3, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetProductById\GetProductByIdHandler.cs", "C#", 24, 0, 0, 0, 0, 5, 29
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetProductById\GetProductByIdQuery.cs", "C#", 12, 0, 0, 0, 0, 3, 15
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetProductsByCategory\GetProductsByCategoryHandler.cs", "C#", 25, 0, 0, 0, 0, 5, 30
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetProductsByCategory\GetProductsByCategoryQuery.cs", "C#", 11, 0, 0, 0, 0, 3, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetShoppingCartItemsByUserId\GetShoppingCartItemsByUserIdHandler.cs", "C#", 35, 0, 0, 0, 0, 6, 41
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetShoppingCartItemsByUserId\GetShoppingCartItemsByUserIdQuery.cs", "C#", 11, 0, 0, 0, 0, 3, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetTrendingProducts\GetTrendingProductsHandler.cs", "C#", 24, 0, 0, 0, 0, 5, 29
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetTrendingProducts\GetTrendingProductsQuery.cs", "C#", 9, 0, 0, 0, 0, 1, 10
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetUserTotalAmount\GetUserTotalAmountHandler.cs", "C#", 13, 0, 0, 0, 0, 4, 17
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Features\Queries\GetUserTotalAmount\GetUserTotalAmountQuery.cs", "C#", 10, 0, 0, 0, 0, 3, 13
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\GaezBakeryHouse.Application.csproj", "XML", 0, 0, 15, 0, 0, 5, 20
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Mappings\MappingProfile.cs", "C#", 34, 0, 0, 0, 0, 9, 43
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Models\JwtSettings.cs", "C#", 15, 0, 0, 0, 0, 2, 17
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Services\IAuthService.cs", "C#", 10, 0, 0, 0, 0, 3, 13
"d:\GaezBakeryHouse\GaezBakeryHouse.Application\Services\IJwtService.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\GaezBakeryHouse\GaezBakeryHouse.Domain\Common\BaseEntity.cs", "C#", 7, 0, 0, 0, 0, 1, 8
"d:\GaezBakeryHouse\GaezBakeryHouse.Domain\Entities\ApplicationUser.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\GaezBakeryHouse\GaezBakeryHouse.Domain\Entities\Category.cs", "C#", 10, 0, 0, 0, 0, 2, 12
